region,date,confirmed
Jeju-do,02-03,0
Daegu,02-03,0
Gyeongsangbuk-do,02-03,0
Seoul,02-04,7
Busan,02-04,0
Incheon,02-04,2
Gwangju,02-04,1
Daejeon,02-04,0
Ulsan,02-04,0
Sejong,02-04,0
Gyeonggi-do,02-04,5
Gangwon-do,02-04,0
Chungcheongbuk-do,02-04,0
Chungcheongnam-do,02-04,0
Jeollabuk-do,02-04,1
Jeollanam-do,02-04,0
Gyeongsangnam-do,02-04,0
Jeju-do,02-04,0
Daegu,02-04,0
Gyeongsangbuk-do,02-04,0
Seoul,02-05,7
Busan,02-05,0
Incheon,02-05,2
Gwangju,02-05,2
Daejeon,02-05,0
Ulsan,02-05,0
Sejong,02-05,0
Gyeonggi-do,02-05,7
Gangwon-do,02-05,0
Chungcheongbuk-do,02-05,0
Chungcheongnam-do,02-05,0
Jeollabuk-do,02-05,1
Jeollanam-do,02-05,0
Gyeongsangnam-do,02-05,0
Jeju-do,02-05,0
Daegu,02-05,0
Gyeongsangbuk-do,02-05,0
Seoul,02-06,10
Busan,02-06,0
Incheon,02-06,2
Gwangju,02-06,3
Daejeon,02-06,0
Ulsan,02-06,0
Sejong,02-06,0
Gyeonggi-do,02-06,8
Gangwon-do,02-06,0
Chungcheongbuk-do,02-06,0
Chungcheongnam-do,02-06,0
Jeollabuk-do,02-06,1
Jeollanam-do,02-06,0
Gyeongsangnam-do,02-06,0
Jeju-do,02-06,0
Daegu,02-06,0
Gyeongsangbuk-do,02-06,0
Seoul,02-07,10
Busan,02-07,0
Incheon,02-07,2
Gwangju,02-07,3
Daejeon,02-07,0
Ulsan,02-07,0
Sejong,02-07,0
Gyeonggi-do,02-07,8
Gangwon-do,02-07,0
Chungcheongbuk-do,02-07,0
Chungcheongnam-do,02-07,0
Jeollabuk-do,02-07,1
Jeollanam-do,02-07,0
Gyeongsangnam-do,02-07,0
Jeju-do,02-07,0
Daegu,02-07,0
Gyeongsangbuk-do,02-07,0
Seoul,02-08,10
Busan,02-08,0
Incheon,02-08,2
Gwangju,02-08,3
Daejeon,02-08,0
Ulsan,02-08,0
Sejong,02-08,0
Gyeonggi-do,02-08,8
Gangwon-do,02-08,0
Chungcheongbuk-do,02-08,0
Chungcheongnam-do,02-08,0
Jeollabuk-do,02-08,1
Jeollanam-do,02-08,0
Gyeongsangnam-do,02-08,0
Jeju-do,02-08,0
Daegu,02-08,0
Gyeongsangbuk-do,02-08,0
Seoul,02-09,10
Busan,02-09,0
Incheon,02-09,2
Gwangju,02-09,3
Daejeon,02-09,0
Ulsan,02-09,0
Sejong,02-09,0
Gyeonggi-do,02-09,11
Gangwon-do,02-09,0
Chungcheongbuk-do,02-09,0
Chungcheongnam-do,02-09,0
Jeollabuk-do,02-09,1
Jeollanam-do,02-09,0
Gyeongsangnam-do,02-09,0
Jeju-do,02-09,0
Daegu,02-09,0
Gyeongsangbuk-do,02-09,0
Seoul,02-10,10
Busan,02-10,0
Incheon,02-10,2
Gwangju,02-10,3
Daejeon,02-10,0
Ulsan,02-10,0
Sejong,02-10,0
Gyeonggi-do,02-10,11
Gangwon-do,02-10,0
Chungcheongbuk-do,02-10,0
Chungcheongnam-do,02-10,0
Jeollabuk-do,02-10,1
Jeollanam-do,02-10,0
Gyeongsangnam-do,02-10,0
Jeju-do,02-10,0
Daegu,02-10,0
Gyeongsangbuk-do,02-10,0
Seoul,02-11,10
Busan,02-11,0
Incheon,02-11,2
Gwangju,02-11,3
Daejeon,02-11,0
Ulsan,02-11,0
Sejong,02-11,0
Gyeonggi-do,02-11,12
Gangwon-do,02-11,0
Chungcheongbuk-do,02-11,0
Chungcheongnam-do,02-11,0
Jeollabuk-do,02-11,1
Jeollanam-do,02-11,0
Gyeongsangnam-do,02-11,0
Jeju-do,02-11,0
Daegu,02-11,0
Gyeongsangbuk-do,02-11,0
Seoul,02-12,10
Busan,02-12,0
Incheon,02-12,2
Gwangju,02-12,3
Daejeon,02-12,0
Ulsan,02-12,0
Sejong,02-12,0
Gyeonggi-do,02-12,12
Gangwon-do,02-12,0
Chungcheongbuk-do,02-12,0
Chungcheongnam-do,02-12,0
Jeollabuk-do,02-12,1
Jeollanam-do,02-12,0
Gyeongsangnam-do,02-12,0
Jeju-do,02-12,0
Daegu,02-12,0
Gyeongsangbuk-do,02-12,0
Seoul,02-13,10
Busan,02-13,0
Incheon,02-13,2
Gwangju,02-13,3
Daejeon,02-13,0
Ulsan,02-13,0
Sejong,02-13,0
Gyeonggi-do,02-13,12
Gangwon-do,02-13,0
Chungcheongbuk-do,02-13,0
Chungcheongnam-do,02-13,0
Jeollabuk-do,02-13,1
Jeollanam-do,02-13,0
Gyeongsangnam-do,02-13,0
Jeju-do,02-13,0
Daegu,02-13,0
Gyeongsangbuk-do,02-13,0
Seoul,02-14,10
Busan,02-14,0
Incheon,02-14,2
Gwangju,02-14,3
Daejeon,02-14,0
Ulsan,02-14,0
Sejong,02-14,0
Gyeonggi-do,02-14,12
Gangwon-do,02-14,0
Chungcheongbuk-do,02-14,0
Chungcheongnam-do,02-14,0
Jeollabuk-do,02-14,1
Jeollanam-do,02-14,0
Gyeongsangnam-do,02-14,0
Jeju-do,02-14,0
Daegu,02-14,0
Gyeongsangbuk-do,02-14,0
Seoul,02-15,10
Busan,02-15,0
Incheon,02-15,2
Gwangju,02-15,3
Daejeon,02-15,0
Ulsan,02-15,0
Sejong,02-15,0
Gyeonggi-do,02-15,12
